Node index:10
Pressure (psi):
-0.6398150324821472,-2.6614668369293213,-1.0944780111312866,-1.0607277154922485,1.262373924255371,0.22331127524375916,1.019161581993103,0.28344953060150146,0.6932705044746399,-0.43310877680778503,-0.3584844172000885,-0.7170230746269226,-0.6222242712974548,-0.35986989736557007,0.08333177864551544,0.5469112992286682,0.8215914964675903,0.9959213137626648,1.3722225427627563,1.3765524625778198,0.673613965511322,0.2957734763622284,-0.7050986886024475,-1.8891578912734985,-0.5486879348754883,-2.563676118850708,-0.9949660301208496,-0.961041271686554,1.347583532333374,0.3090018630027771,1.1011580228805542,0.36694133281707764,0.7745369672775269,-0.33692997694015503,-0.2637508511543274,-0.6138542890548706,-0.5229021906852722,-0.26615363359451294,0.17132127285003662,0.6336459517478943,0.9105920791625977,1.0861625671386719,1.4646406173706055,1.4690921306610107,0.7623429298400879,0.3833608031272888,-0.6060225963592529,-1.7894941568374634,-0.4571160078048706,-2.466801404953003,-0.8962167501449585,-0.8620781898498535,1.4357479810714722,0.39562350511550903,1.1872577667236328,0.451872855424881,0.8587289452552795,-0.2409932017326355,-0.16914255917072296,-0.5117262005805969,40.90399932861328,41.03409957885742,41.23503112792969,41.443084716796875,41.54559326171875,41.623348236083984,41.78415298461914,41.787498474121094,41.47665786743164,41.31135559082031,40.85158920288086,40.298789978027344,41.01819610595703,40.19786834716797,40.82844543457031,40.84558868408203,41.84498596191406,41.382720947265625,41.74022674560547,41.429115295410156,41.59771728515625,41.05231475830078,41.089942932128906,40.91014862060547,40.96269226074219,41.0923957824707,41.292747497558594,41.50021743774414,41.602455139160156,41.68000411987305,41.840396881103516,41.8437385559082,41.53369903564453,41.36884689331055,40.910362243652344,40.35980224609375,41.076568603515625,40.2591438293457,40.88703918457031,40.90414047241211,41.90100860595703,41.440025329589844,41.796546936035156,41.486351013183594,41.654457092285156,41.11063003540039,41.14816665649414,40.96882629394531,41.021244049072266,41.1505241394043,41.35026168823242,41.55712890625,41.65909194946289,41.73643493652344,41.89640426635742,41.899742126464844,41.59051513671875,41.426124572753906,40.968997955322266,40.42062759399414,41.13474655151367,40.32048797607422,40.945499420166016,40.962562561035156,41.956790924072266,41.49712371826172,41.85263442993164,41.54336929321289,41.71096420288086,41.16877365112305,41.206207275390625,41.0273551940918,41.079627990722656,41.208457946777344,41.40755844116211,41.61381149291992,41.715492248535156,41.792625427246094,41.952171325683594,41.955501556396484,41.6470947265625,41.483177185058594,41.027462005615234,40.48125076293945,41.19270324707031,40.3816032409668,41.0037956237793,41.02082061767578,42.0123176574707,41.553993225097656,41.90847396850586,41.600154876708984,41.767234802246094,41.22672653198242,41.26404571533203,41.085716247558594,41.137821197509766,41.26618576049805,41.46461868286133,41.670249938964844,41.77164840698242,41.848567962646484,42.00768280029297,42.01100540161133,41.703426361083984,41.53999328613281,41.085731506347656,40.54165267944336,41.25041580200195,40.44247817993164,41.061893463134766,41.07888412475586,42.067588806152344,41.61062240600586,41.96405792236328,41.656700134277344,41.8232536315918,41.28446960449219,41.3216667175293,41.14387893676758,41.19580078125,41.32368087768555,41.52143859863281,41.726436614990234,41.82754898071289,41.90425491333008,42.06293487548828,42.06624984741211,41.75950622558594,41.5965576171875,41.1437873840332,40.60182189941406,41.307899475097656,40.503108978271484,41.119773864746094,41.13673400878906,42.122589111328125,41.666996002197266,42.019378662109375,41.71299362182617,41.8790168762207,41.341983795166016,41.379051208496094,41.20182800292969,41.25355529785156,41.38093566894531,41.578006744384766,41.78236389160156,41.88318634033203,41.95968246459961,42.117919921875,42.12123107910156,41.81532287597656,41.65286636352539,41.20161437988281,40.66175842285156,41.36510467529297,40.563480377197266,41.17742156982422,41.1943473815918,42.17732238769531,41.72311019897461,42.074432373046875,41.76902770996094,41.93451690673828,41.399261474609375,41.436195373535156,41.25954818725586,41.31106948852539,41.43794250488281,41.63431167602539,41.83802795410156,41.294185638427734,41.35464096069336,41.410858154296875,41.524085998535156,41.52336883544922,41.29105758666992,41.16215133666992,40.80530548095703,40.34662628173828,40.755279541015625
Head (ft):
145.5233917236328,140.85768127441406,144.47409057617188,144.55197143554688,149.91339111328125,147.515380859375,149.3520965576172,147.65415954589844,148.5999755859375,146.0004425048828,146.17266845703125,145.34519958496094,145.56398010253906,146.16946411132812,147.19232177734375,148.26220703125,148.89613342285156,149.2984619140625,150.1669158935547,150.17691040039062,148.5546112060547,147.68260192871094,145.3727264404297,142.64007568359375,145.73370361328125,141.0833740234375,144.70375061035156,144.78204345703125,150.11004638671875,147.713134765625,149.5413360595703,147.8468475341797,148.78753662109375,146.222412109375,146.39129638671875,145.5832977294922,145.793212890625,146.38575744628906,147.3953857421875,148.46237182617188,149.10153198242188,149.50672912597656,150.3802032470703,150.39047241210938,148.75938415527344,147.88475036621094,145.60137939453125,142.87008666992188,145.94503784179688,141.30694580078125,144.93165588378906,145.01043701171875,150.3135223388672,147.9130401611328,149.7400360107422,148.04286193847656,148.98184204101562,146.44381713867188,146.60963439941406,145.81900024414062,241.40110778808594,241.70135498046875,242.1650848388672,242.64524841308594,242.88182067871094,243.06126403808594,243.43238830566406,243.4401092529297,242.7227325439453,242.3412322998047,241.2801513671875,240.00436401367188,241.66465759277344,239.77145385742188,241.2267303466797,241.26629638671875,243.57278442382812,242.5059356689453,243.3310089111328,242.61300659179688,243.0021209716797,241.74339294433594,241.8302459716797,241.41529846191406,241.53656005859375,241.8358917236328,242.2982940673828,242.777099609375,243.01304626464844,243.1920166015625,243.56219482421875,243.5699005126953,242.8543701171875,242.47390747070312,241.41578674316406,240.14517211914062,241.79937744140625,239.91285705566406,241.36196899414062,241.40142822265625,243.7020721435547,242.63818359375,243.46099853515625,242.74510192871094,243.133056640625,241.8779754638672,241.96461486816406,241.55072021484375,241.67169189453125,241.9700469970703,242.43101501464844,242.908447265625,243.1437530517578,243.32225036621094,243.6914520263672,243.6991424560547,242.98548889160156,242.60610961914062,241.55111694335938,240.28555297851562,241.9336395263672,240.054443359375,241.49688720703125,241.53627014160156,243.830810546875,242.76995849609375,243.59043884277344,242.87669372558594,243.2634735107422,242.01217651367188,242.0985565185547,241.68580627441406,241.80642700195312,242.103759765625,242.56324768066406,243.0392608642578,243.27392578125,243.45193481445312,243.8201446533203,243.8278350830078,243.11607360839844,242.73777770996094,241.68603515625,240.4254608154297,242.06739807128906,240.1954803466797,241.6314239501953,241.67071533203125,243.95896911621094,242.90121459960938,243.71929931640625,243.00775146484375,243.39334106445312,242.1459197998047,242.23204040527344,241.8204803466797,241.94073486328125,242.2369842529297,242.6949462890625,243.1695098876953,243.4035186767578,243.5810546875,243.94825744628906,243.9559326171875,243.24607849121094,242.868896484375,241.8205108642578,240.5648651123047,242.20059204101562,240.3359832763672,241.7655029296875,241.80471801757812,244.08651733398438,243.03189086914062,243.8475799560547,243.13824462890625,243.5226287841797,242.27919006347656,242.36502075195312,241.95472717285156,242.07455444335938,242.3696746826172,242.82608032226562,243.2991943359375,243.53253173828125,243.70956420898438,244.07577514648438,244.08343505859375,243.37550354003906,242.9994354248047,241.95449829101562,240.70372009277344,242.333251953125,240.4759063720703,241.8990936279297,241.93821716308594,244.2134552001953,243.16200256347656,243.97525024414062,243.26815795898438,243.6513214111328,242.41192626953125,242.49746704101562,242.0884552001953,242.2078399658203,242.50181579589844,242.9566192626953,243.42825317382812,243.66094970703125,243.8374786376953,244.2026824951172,244.21031188964844,243.5043182373047,243.12939453125,242.0879669189453,240.84205627441406,242.46527099609375,240.615234375,242.03213500976562,242.07119750976562,244.3397674560547,243.29150390625,244.10231018066406,243.39747619628906,243.77940368652344,242.54409790039062,242.6293487548828,242.22166442871094,242.340576171875,242.6333770751953,243.08656311035156,243.5567169189453,242.30160522460938,242.44113159179688,242.57086181640625,242.83218383789062,242.83053588867188,242.2943878173828,241.99688720703125,241.17333984375,240.11476135253906,241.05787658691406
Demand (GPM):
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

Node index:15
Pressure (psi):
